enhed	ip	versionName	versionCode	a11y	screen	naaet_hvordan
Note10 SM-N975U1	100.100.103.102	1.0	51	true	true	8090/info med token fra vault (husk-rig-token) fra HFs_Dell 2026-09-23; uden token 401; /snapshot 200 jpeg, /screen.jpg 200 jpeg
Samsung SM-A102U1	100.100.101.102	UNAAELIG	UNAAELIG	UNAAELIG	UNAAELIG	8090 ingen svar (HTTP 000, 8 s); tailscale ping 3x timed out, no reply; tailscale status: offline, last seen 1d ago (målt fra HFs_Dell 2026-09-23)
Sony 702SO	100.100.101.101	UNAAELIG	UNAAELIG	UNAAELIG	UNAAELIG	8090 ingen svar (HTTP 000, 8 s); tailscale ping 3x timed out, no reply; tailscale status: offline, last seen 2d ago (målt fra HFs_Dell 2026-09-23)
